company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
DataPattern,Sr. Data Engineer,"Los Angeles, CA","Responsibilities
● Contribute to the design and growth of our Data Products and Data Warehouses around Engagement and Retention Analytics and Data Science
● Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid)
● Our tech stack includes Hadoop, AWS, Snowflake, Spark and Airflow and languages include Python, Scala
● Help architect data solutions/frameworks and define data models for the underlying data warehouse and data marts
● Collaborate with Data Product Managers, Data Architects and Data Engineers to design, implement, and deliver successful data solutions
● Maintain detailed documentation of your work and changes to support data quality and data governance
● Ensure high operational efficiency and quality of your solutions to meet SLAs and support commitment to our customers (Data Science, Data Analytics teams)
● Be an active participant and advocate of agile/scrum practice to ensure health and process improvements for your team
Basic Qualifications
● 6+ years of data engineering experience developing large data pipelines
● String Python programming skills
● Strong SQL skills and ability to create queries to extract data and build performant datasets
● Hands-on experience with distributed systems such as Spark, Hadoop (HDFS, Hive, Presto, PySpark) to query and process data
Preferred Qualifications
● Experience with at least one major MPP or cloud database technology (Snowflake, Redshift, Big Query)
● Nice to have experience with Cloud technologies like AWS (S3, EMR, EC2)
● Solid experience with data integration toolsets (i.e Airflow) and writing and maintaining Data Pipelines
● Familiarity with Data Modeling techniques and Data Warehousing standard methodologies and practices
● Good Scripting skills, including Bash scripting and Python
● Familiar with Scrum and Agile methodologies
● You are a problem solver with strong attention to detail and excellent analytical and communication skills
Job Type: Full-time
Salary: $65.00 - $75.00 per hour
Experience level:
6 years
Schedule:
Monday to Friday
Experience:
SQL (Preferred)
Informatica (Preferred)
Data warehouse (Preferred)
Work Location: On the road
Speak with the employer
+91 9256270467
Show Less
Report",$65.00 - $75.00 Per hour,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
YT Global Network,Data Engineer- Remote,Remote,"Data Engineer- Remote
Role: Data and Analytics is an evolving space which includes more software engineering, distributed systems, and cloud skills.
WIll develop, maintain, and enhance the data platform capabilities in an open and collaborative environment to build the central platform.
Will collaborate with internal data customers across IT and the Business to minimize the time from idea inception to analytical insight.
Job responsibilities will include: contributing to data infrastructure design efforts and collaborating with other platforms to integrate infrastructure into the client's systems and testing the feasibility and effectiveness of various technology options; supporting complex tools and solutions to manage orchestration, data pipelines, and infrastructure as code solutions the Data Engineering team builds.
Required skills:
Proven experience in designing, building, and supporting complex data pipelines using a variety of traditional and non-traditional data sources.
Version Control and associated best practices
Advanced programming experience in programming languages used in analytics and data science (e.g. Python, Java, Scala). Comfortable with Linux environments and shell scripting.
Experience with Cloud-based infrastructures (AWS)
Experience working with SQL/NoSQL
Experience utilizing data pipeline orchestration frameworks.
Verbal Communication
Preferred skills and experiences:
Analysis
API Development
CI/CD
Creating Real Time or Streaming Systems
Data Governance
Data Lineage
Data Metadata
Data Testing
Distributed Databases
Domain Knowledge
Schema
Snowflake
Visual Communication
EDUCATION AND/OR EXPERIENCE REQUIRED:
Education and/or experiences listed below are the minimum requirements for job entry.
Bachelor's Degree or higher in an Information Technology discipline or related field of study and minimum of two years of work experience designing, programming, and supporting software programs or applications.
In lieu of degree, minimum of four years related work experience designing, programming, and supporting software programs or applications may be accepted.
Job Types: Full-time, Contract
Pay: $90.00 - $120.00 per hour
Benefits:
Health insurance
Experience level:
6 years
Schedule:
8 hour shift
Monday to Friday
Work Location: Remote
Show Less
Report",$90.00 - $120.00 Per hour,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Wevision LLC,Data Engineer,"Irvine, CA","Job description
We build services, data platform and machine learning based optimization engines for every aspect of advertising, including targeting, decisioning, pricing, personalization, inventory forecasting, attribution and full-funnel measurements. Our tenant is a strong tech team to deliver E2E solutions covering tech areas ranging from research, bigdata, microservices to data applications with front-end tools. Our team is seeking a software developer who will be an outstanding addition and will be responsible for development of high-available and high-concurrent backend services or data solutions. The right person for this role should have experience on either full stack components, or microservices or bigdata platforms. If you are someone who is proactive, hardworking, and enthusiastic in either these domains, this is a phenomenal role for you!
WHAT YOU’LL DO
Build components of large scale data platform for online streaming data and offline batch data from ETL pipelines, data processing, operational data store and AI feature stores.
Continuously improve performance, scalability and availability for microservices of advertising targeting, decisioning and ranking.
Own features of bigdata applications to fit evolving business with realtime metrics, measurable insights and industry leading user experience.
Drive adoption of the best engineering practices, including the use of design patterns, CI/CD, code review and automated integration testing.
Chip in disruptive innovation and apply new ground breaking technologies
As a key member of the team, contribute to all aspects of the software lifecycle: design, experimentation, implementation and testing.
Collaborate with program managers, product managers, and researchers in an open and innovative environment.
WHAT TO BRING
BS in computer science or engineering.
3+ years of professional programming and design experience in Scala, Java, Python, and etc.
2+ years of experience with Hadoop ecosystem e.g. HBase, Hive, Spark/Flink, Impala, Presto, Click House, Druid and etc.
Knowledge of system, application design and architecture
Passion for technology, open to interdisciplinary work
NICE-TO-HAVES
Experience with processing large amount of data at petabyte level.
Experience in digital video advertising or digital marketing domain.
Experience with CRM, DMP, user portrait and audience insights.
Experience with Airflow, Kafka, MemSQL, Docker, AWS, Terraform, Spinnaker, K8S, and etc.
Experience in at least one widely used Web framework (React.js, Vue.js, Angular, etc.) and good knowledge of Web stack HTML, CSS, Webpack.
Job Types: Full-time, Contract
Pay: $55.00 - $85.00 per hour
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Experience:
Python: 1 year (Required)
AWS: 1 year (Preferred)
Scala: 1 year (Required)
Work Location: Hybrid remote in Irvine, CA 92602
Show Less
Report",$55.00 - $85.00 Per hour,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
kairos technologies,Data Engineer,"Boston, MA","Job Title: Data Engineer with AWS – Hybrid
Location: Boston, MA
Duration: 6-12 months
Detail Job Description:
Familiarity with data lake, data warehouse or data lake environments and related topics . Has a proven track record to work with vendors to deploy external SaaS solutions and integrate with existing systems.
In depth with data lakes/ data environments including ETL (PySpark), data Catalogs (Glue, Alation), API interfaces, Cloud data warehouses such as Redshift, Querying engines such as Trino.
Agile approaches to building cloud native solutions using CI/CD, containers, Kubernetes, GitOPS, etc..
Strong automation and development skills in terraform, CloudFormation, and other languages like Python, and bash.
8+ years of total IT experience, with at least 4 years in AWS services such as EMR, EC2, S3, IAM, Glue andRedshift and 2+ years of experience in Infrastructure as code technologies like Terraform, CloudFormation.
4+ years of Python, SQL experience is mandatory.
Job Type: Contract
Salary: $60.00 - $68.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Boston, MA 02108: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Speak with the employer
+91 9725977972
Show Less
Report",$60.00 - $68.00 Per hour,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2003,$5 to $25 million (USD)
Konnectingtree,Data Engineer,Remote,"Greetings from KonnectingTree!
We are looking for a Data Engineer for one of our clients. This is a remote position with an Implementation partner. AWS Certification Mandatory.
Data Engineer with AWS Experience
Experience with PySpark/Spark
Experience in Python
Able to work independently
Able to work with the business team directly
Interested candidates kindly share your updated resume with mythili.saravanan@konenctingtree.com. Please reach me at 952-679-2916.
Job Type: Contract
Salary: $45.00 - $50.00 per hour
Experience level:
5 years
Schedule:
8 hour shift
Experience:
AWS Data Engineer: 5 years (Required)
Python: 5 years (Required)
PySpark: 5 years (Required)
Work Location: Remote
Speak with the employer
+91 952-679-2916
Show Less
Report",$45.00 - $50.00 Per hour,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Edmunds.com,Data Engineer,"Santa Monica, CA","Edmunds offers flexibility to work fully remote, from our Edquarters, or a combination of both

At Edmunds we’re driven to make car buying easier. Ever since we began publishing printed car guides in the 60’s, the company has been in the business of trust, innovating ways to empower and support car shoppers. When Edmunds launched the car industry’s first Internet site in 1994, we established a leadership position online and have never looked back. Now, as one of the most trusted review sites on the Internet, millions of visitors use our research, shopping and buying tools every month to make an easy and informed decision on their next car. For consumers, we bring peace of mind. For dealers, we make tools to help them solve their problems and sell more cars. How do we do it, you ask? The key ingredients are our enthusiastic employees, progressive company culture and cutting-edge technology. Want to join the team? Read on to find out how!

What You’re Applying For:
The analytics group at Edmunds.com is looking for an Analytics Development/ Data Engineer who will work with Business Intelligence tools in collaboration with product owners, analysts, marketing and engineering to design and implement Analytics Solutions for Edmunds.
Edmunds.com is all about data, big data! We are fast becoming the de facto standard by which automotive information is defined in the United States. We collect detailed, user behavior for over 18 million unique visitors a month. The BI Engineer is responsible for building BI Solutions, analyzing data, maintaining the platform and answering questions in the analytics realm.
We are looking for a person that is smart, creative, ambitious and most of all passionate about data wrangling and management. Large-scale data analytics should excite you. Edmunds is very much about helping its people grow—meaningfully, effectively and prosperously. We care about what we do and we care about our people. A demonstrated passion for data and analytics will provide incredible growth opportunities and will make this the best job you ever had.

What You’ll Do:
Work with business users directly to gather requirements and provide solutions and insights
Follow Agile project management methodology
Translate functional requirements into technical designs and choose the appropriate BI solutions
Build Data Pipelines to cleanse and store data in databricks
Support infrastructure on AWS
Document functional requirements, functional designs, and all technical designs according to Edmunds technical documentation standards
Apply Minimum Viable Product (MVP) approach to test the solution before building the entire application

What You Need:
Bachelor’s degree in Engineering, Mathematics, Statistics
Minimum 5 Years of Professional development experience
Minimum 2 years experience in deploying & troubleshooting AWS infrastructure. AWS Certification Is preferred
Working Knowledge in Scripting Languages like Linux (Shell Script), Python
Proficient data analysis experience utilizing SQL
Working knowledge in any one of the RDBMS such as Postgres, Redshift
Experience in Business Intelligence tools such Tableau, Microstrategy or equivalent
Experience in Big Data analysis using SparkSQL HDFS, Hive and Scala
Working knowledge in any two of the programming languages Java, C#, or Perl
Working knowledge of statistical analysis using tools such as R
Experience in interacting with cross functional teams
Advanced analytical thinking and problem solving skills with deep technical knowledge of data infrastructure practices and tools
Ability to create and present status reports to senior executives
Experience in configuring and using DevOps tools JIRA, Stash, Confluence

The compensation range for this position is $113,000 - $169,000 per year. The base pay will take into account internal equity as well as job-related knowledge, skills, and experience among other factors. In addition, Edmunds offers full-time employees a comprehensive total rewards package including the benefits listed below.
Edmunds Perks:
Flexible time off
13 Paid Holidays
Comprehensive Health Benefits (medical, dental, vision, life and disability)
Flexible Spending Accounts (Employees) and Health Savings Accounts (Employee and Employer Contributions)
401K Plan with company matching at 100%, up to 6% of eligible salary with immediate vesting
Stock purchase program
CarMax vehicle discount
Up to 4 months Paid Parental Leave
HeartCash matches employee donations to the causes that are important to them
2 Days of Paid Time Off for time to dedicate to social impact causes
FitCash covers a portion of gym or fitness activity fees
Well being sessions and events such as yoga, meditation and walking challenges
On-going career development sessions and an annual learning event
Pet insurance
Sabbatical leave
Education Reimbursement
Pre-tax spending accounts for qualified transportation expenses
Plus a coffee bar, frozen yogurt and more!

Working @ Edmunds.com:
Employees think it’s a pretty great place to work and some pretty impressive publications think it is too: we have been recognized as one of the best places to work by the Fortune Magazine and Great Places to Work, LA Business Journal (for the last 6 years!), Computerworld, Built in LA and Inc. Magazine. We've also been identified as one of the best workplaces specifically in Technology and also for Diversity and Asian Americans. If you’re interested in learning more and joining our mission, we’d love to hear from you!

Edmunds will consider for employment qualified candidates with criminal histories in a manner consistent with the requirements of all applicable laws.
#BI-Remote

This is a remote position.
Show Less
Report",$1L - $2L,201 to 500 Employees,Company - Private,Information Technology,Internet & Web Services,1966,$100 to $500 million (USD)
Kanini Software Solutions,Data Engineer,Remote,"About Kanini
Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.
Why you should join
Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.
Kanini is looking for a Big Data Engineer who has a deep experience in Data Engineering, AWS, Python, Data Lakes.
Required Skills
At least 10 years software development experience
At least 5 years leading at least one Scrum team of data engineers building data-intensive products with a modern tech stack.
Significant experience with big data ETL pipeline development with Spark, Hive, and related technologies
Significant experience with a general-purpose programming language such as Python, Scala, or Java
Experience with Spark framework and related tools (PySpark, Scala, SparkR, Spark SQL, Spark UI)
Experience with Hadoop ecosystem using HDFS, ADLS Gen2, or AWS S3
Experience with data visualization development using Python, Tableau, or PowerBI
Experience with Azure, AWS or GCP
Solid understanding of performance tuning concepts for relational and distributed database systems
Familiarity with distributed programming, big data concepts, and cloud computing
Education Qualifications
Bachelor’s degree in computer science/Engineering or Technology related field or possess equivalent work experience.
Preferred Qualifications
Cloud certifications from Azure, AWS or GCP
Big data, data engineering or data science certifications from recognized vendors such as Data bricks & Cloudera
Kanini Software Solutions, Inc. does not discriminate in employment matters based on race, gender, religion, age, national origin, citizenship, veteran status, family status, disability status, or any other protected class. We support workplace diversity. If you have a disability, please let us know if there is anything we can do to improve the interview process for you; we’re happy to accommodate.
Kanini Software Solutions, Inc., 25 Century Blvd., Ste. 602, Nashville, TN 37214
Job Types: Full-time, Contract
Pay: $65.00 - $70.00 per hour
Experience level:
10 years
Work Location: Remote
Show Less
Report",$65.00 - $70.00 Per hour,501 to 1000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2003,$5 to $25 million (USD)
Gridiron IT,Data Engineer,"Washington, DC","Seeking a Data Engineer local to Washington, DC.
Active Top Secret/SCI Clearance Required
Duties
Develop and design data pipelines to support an end-to-end solution.
Develop and maintain artifacts i.e., schemas, data dictionaries, and transforms related to ETL processes.
Integrate data pipelines with AWS cloud services to extract meaningful insights.
Manage production data within multiple datasets ensuring fault tolerance and redundancy.
Design and develop robust and functional dataflows to support raw data and expected data.
Provide Tier 3 technical support for deployed applications and dataflows.
Collaborate with the rest of data engineering team to design and launch new features. Includes coordination and documentation of dataflows, capabilities, etc.
Skills
Amazon Web Services (AWS)
Database Administration
Data Engineering
ETL Architecture and Development
End-to-End Processes
API Development
Extract, Transform, and Load (ETL)
Data Pipeline
Tier 3 Technical Support
Preferred
Database administration and development experience will be a plus for consideration.
Experience with cloud message APIs and usage of push notifications.
Keen interest in learning and using the latest software tools, methods, and technologies to solve real world problem sets vital to national security.
Job Types: Full-time, Contract
Pay: $65.00 - $75.00 per hour
Benefits:
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Referral program
Retirement plan
Vision insurance
Experience level:
4 years
Schedule:
8 hour shift
Monday to Friday
Overtime
Ability to commute/relocate:
Washington, DC: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data Engineer: 3 years (Preferred)
AWS: 2 years (Preferred)
ETL: 3 years (Preferred)
Security clearance:
Top Secret (Required)
Work Location: In person
Show Less
Report",$65.00 - $75.00 Per hour,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2017,Unknown / Non-Applicable
STAND 8,DATA ENGINEER,Remote,"STAND 8 is a global leader providing end-to-end IT Solutions. We solve business problems through PEOPLE, PROCESS, and TECHNOLOGY and are looking for individuals to help us scale software projects designed to change the world!
Looking for a highly motivated and experienced Data Engineer to join our dynamic team. The successful candidate will be responsible for designing, developing and maintaining comprehensive Datalake and warehouse solutions. The candidate should be able to tackle challenges that come with complex large-scale data having different streams of data sources.

Key Responsibilities
Building different types of data lake and warehousing layers based on specific use cases.
Building scalable data infrastructure and understanding distributed systems concepts from a data storage and compute perspective.
Utilizing expertise in SQL and having a strong understanding of ETL (Extract-Transform-Load) and data modeling.
Ensuring the accuracy and availability of data to customers and understanding how technical decisions can impact the business’s analytics and reporting.
Interfacing with other technology teams to extract, transform and load data from a wide variety of data sources.
Design Data models and Data Products to enable advanced analytics for business
Developing scalable engineering solutions and building data solutions that drive real impact at the company
Collaborate with other teams to ensure proper integration of new features and identify areas for improvement.
Maintain a deep understanding of the software architecture and how different components interact.
Ensure quality by performing root cause analysis and troubleshooting of defects.
Stay current with industry trends and advancements in Data Engineering.

Qualifications
Bachelor’s degree in Computer Science, Software Engineering, or a related field.
3+ years of experience in Data Engineering, with a strong focus on batch and stream data processing using distributed computing systems like Spark.
Proficiency in either pySpark or Scala to handle large-volume data processing.
Proficiency in programming languages like Python or Java.
Familiarity with AWS.
Strong SQL skills, including performance tuning.
Excellent written and verbal communication skills.
Experience with Agile software development methodologies.
Ability to work independently and in a team environment.

The US base range for this contract position is $50-$80/hour. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training
Show Less
Report",$50.00 - $80.00 Per hour,1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Less than $1 million (USD)
Radiant Systems Inc,Azure Data Engineer,"Milwaukee, WI","Azure Synapse (no data bricks please)
Some Data Modeling would be helpful
ADF workflow experience
GIT
Python
Spark
MS or Azure SQL
Azure DevOps experience helpful
Datawarehouse and ETL
Job Type: Contract
Application Question(s):
Are you willing to work on W2?
Work Location: Remote
Show Less
Report",$87T - $1L,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,1995,$25 to $50 million (USD)
