id,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,Wevision LLC,Data Engineer,"Irvine, CA","Job description
We build services, data platform and machine learning based optimization engines for every aspect of advertising, including targeting, decisioning, pricing, personalization, inventory forecasting, attribution and full-funnel measurements. Our tenant is a strong tech team to deliver E2E solutions covering tech areas ranging from research, bigdata, microservices to data applications with front-end tools. Our team is seeking a software developer who will be an outstanding addition and will be responsible for development of high-available and high-concurrent backend services or data solutions. The right person for this role should have experience on either full stack components, or microservices or bigdata platforms. If you are someone who is proactive, hardworking, and enthusiastic in either these domains, this is a phenomenal role for you!
WHAT YOU’LL DO
Build components of large scale data platform for online streaming data and offline batch data from ETL pipelines, data processing, operational data store and AI feature stores.
Continuously improve performance, scalability and availability for microservices of advertising targeting, decisioning and ranking.
Own features of bigdata applications to fit evolving business with realtime metrics, measurable insights and industry leading user experience.
Drive adoption of the best engineering practices, including the use of design patterns, CI/CD, code review and automated integration testing.
Chip in disruptive innovation and apply new ground breaking technologies
As a key member of the team, contribute to all aspects of the software lifecycle: design, experimentation, implementation and testing.
Collaborate with program managers, product managers, and researchers in an open and innovative environment.
WHAT TO BRING
BS in computer science or engineering.
3+ years of professional programming and design experience in Scala, Java, Python, and etc.
2+ years of experience with Hadoop ecosystem e.g. HBase, Hive, Spark/Flink, Impala, Presto, Click House, Druid and etc.
Knowledge of system, application design and architecture
Passion for technology, open to interdisciplinary work
NICE-TO-HAVES
Experience with processing large amount of data at petabyte level.
Experience in digital video advertising or digital marketing domain.
Experience with CRM, DMP, user portrait and audience insights.
Experience with Airflow, Kafka, MemSQL, Docker, AWS, Terraform, Spinnaker, K8S, and etc.
Experience in at least one widely used Web framework (React.js, Vue.js, Angular, etc.) and good knowledge of Web stack HTML, CSS, Webpack.
Job Types: Full-time, Contract
Pay: $55.00 - $85.00 per hour
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Experience:
Python: 1 year (Required)
AWS: 1 year (Preferred)
Scala: 1 year (Required)
Work Location: Hybrid remote in Irvine, CA 92602
Show Less
Report",$55.00 - $85.00 Per hour(Employer Est.),1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
1,"YT Global Network
5.0",Data Engineer- Remote,Remote,"Data Engineer- Remote
Role: Data and Analytics is an evolving space which includes more software engineering, distributed systems, and cloud skills.
WIll develop, maintain, and enhance the data platform capabilities in an open and collaborative environment to build the central platform.
Will collaborate with internal data customers across IT and the Business to minimize the time from idea inception to analytical insight.
Job responsibilities will include: contributing to data infrastructure design efforts and collaborating with other platforms to integrate infrastructure into the client's systems and testing the feasibility and effectiveness of various technology options; supporting complex tools and solutions to manage orchestration, data pipelines, and infrastructure as code solutions the Data Engineering team builds.
Required skills:
Proven experience in designing, building, and supporting complex data pipelines using a variety of traditional and non-traditional data sources.
Version Control and associated best practices
Advanced programming experience in programming languages used in analytics and data science (e.g. Python, Java, Scala). Comfortable with Linux environments and shell scripting.
Experience with Cloud-based infrastructures (AWS)
Experience working with SQL/NoSQL
Experience utilizing data pipeline orchestration frameworks.
Verbal Communication
Preferred skills and experiences:
Analysis
API Development
CI/CD
Creating Real Time or Streaming Systems
Data Governance
Data Lineage
Data Metadata
Data Testing
Distributed Databases
Domain Knowledge
Schema
Snowflake
Visual Communication
EDUCATION AND/OR EXPERIENCE REQUIRED:
Education and/or experiences listed below are the minimum requirements for job entry.
Bachelor's Degree or higher in an Information Technology discipline or related field of study and minimum of two years of work experience designing, programming, and supporting software programs or applications.
In lieu of degree, minimum of four years related work experience designing, programming, and supporting software programs or applications may be accepted.
Job Types: Full-time, Contract
Pay: $90.00 - $120.00 per hour
Benefits:
Health insurance
Experience level:
6 years
Schedule:
8 hour shift
Monday to Friday
Work Location: Remote
Show Less
Report",$90.00 - $120.00 Per hour(Employer Est.),Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
2,"Kanini Software Solutions
4.4",Data Engineer,Remote,"About Kanini
Kanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.
Why you should join
Working at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.
Kanini is looking for a Big Data Engineer who has a deep experience in Data Engineering, AWS, Python, Data Lakes.
Required Skills
At least 10 years software development experience
At least 5 years leading at least one Scrum team of data engineers building data-intensive products with a modern tech stack.
Significant experience with big data ETL pipeline development with Spark, Hive, and related technologies
Significant experience with a general-purpose programming language such as Python, Scala, or Java
Experience with Spark framework and related tools (PySpark, Scala, SparkR, Spark SQL, Spark UI)
Experience with Hadoop ecosystem using HDFS, ADLS Gen2, or AWS S3
Experience with data visualization development using Python, Tableau, or PowerBI
Experience with Azure, AWS or GCP
Solid understanding of performance tuning concepts for relational and distributed database systems
Familiarity with distributed programming, big data concepts, and cloud computing
Education Qualifications
Bachelor’s degree in computer science/Engineering or Technology related field or possess equivalent work experience.
Preferred Qualifications
Cloud certifications from Azure, AWS or GCP
Big data, data engineering or data science certifications from recognized vendors such as Data bricks & Cloudera
Kanini Software Solutions, Inc. does not discriminate in employment matters based on race, gender, religion, age, national origin, citizenship, veteran status, family status, disability status, or any other protected class. We support workplace diversity. If you have a disability, please let us know if there is anything we can do to improve the interview process for you; we’re happy to accommodate.
Kanini Software Solutions, Inc., 25 Century Blvd., Ste. 602, Nashville, TN 37214
Job Types: Full-time, Contract
Pay: $65.00 - $70.00 per hour
Experience level:
10 years
Work Location: Remote
Show Less
Report",$65.00 - $70.00 Per hour(Employer Est.),501 to 1000 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2003,$5 to $25 million (USD)
3,"Gridiron IT
4.4",Data Engineer,"Washington, DC","Seeking a Data Engineer local to Washington, DC.
Active Top Secret/SCI Clearance Required
Duties
Develop and design data pipelines to support an end-to-end solution.
Develop and maintain artifacts i.e., schemas, data dictionaries, and transforms related to ETL processes.
Integrate data pipelines with AWS cloud services to extract meaningful insights.
Manage production data within multiple datasets ensuring fault tolerance and redundancy.
Design and develop robust and functional dataflows to support raw data and expected data.
Provide Tier 3 technical support for deployed applications and dataflows.
Collaborate with the rest of data engineering team to design and launch new features. Includes coordination and documentation of dataflows, capabilities, etc.
Skills
Amazon Web Services (AWS)
Database Administration
Data Engineering
ETL Architecture and Development
End-to-End Processes
API Development
Extract, Transform, and Load (ETL)
Data Pipeline
Tier 3 Technical Support
Preferred
Database administration and development experience will be a plus for consideration.
Experience with cloud message APIs and usage of push notifications.
Keen interest in learning and using the latest software tools, methods, and technologies to solve real world problem sets vital to national security.
Job Types: Full-time, Contract
Pay: $65.00 - $75.00 per hour
Benefits:
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Referral program
Retirement plan
Vision insurance
Experience level:
4 years
Schedule:
8 hour shift
Monday to Friday
Overtime
Ability to commute/relocate:
Washington, DC: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data Engineer: 3 years (Preferred)
AWS: 2 years (Preferred)
ETL: 3 years (Preferred)
Security clearance:
Top Secret (Required)
Work Location: In person
Show Less
Report",$65.00 - $75.00 Per hour(Employer Est.),51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2017,Unknown / Non-Applicable
4,"Radiant Systems Inc
4.0",Azure Data Engineer,"Milwaukee, WI","Azure Synapse (no data bricks please)
Some Data Modeling would be helpful
ADF workflow experience
GIT
Python
Spark
MS or Azure SQL
Azure DevOps experience helpful
Datawarehouse and ETL
Job Type: Contract
Application Question(s):
Are you willing to work on W2?
Work Location: Remote
Show Less
Report",$87T - $1L (Glassdoor Est.),201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,1995,$25 to $50 million (USD)
5,"kairos technologies
4.5",Data Engineer,"Boston, MA","Job Title: Data Engineer with AWS – Hybrid
Location: Boston, MA
Duration: 6-12 months
Detail Job Description:
Familiarity with data lake, data warehouse or data lake environments and related topics . Has a proven track record to work with vendors to deploy external SaaS solutions and integrate with existing systems.
In depth with data lakes/ data environments including ETL (PySpark), data Catalogs (Glue, Alation), API interfaces, Cloud data warehouses such as Redshift, Querying engines such as Trino.
Agile approaches to building cloud native solutions using CI/CD, containers, Kubernetes, GitOPS, etc..
Strong automation and development skills in terraform, CloudFormation, and other languages like Python, and bash.
8+ years of total IT experience, with at least 4 years in AWS services such as EMR, EC2, S3, IAM, Glue andRedshift and 2+ years of experience in Infrastructure as code technologies like Terraform, CloudFormation.
4+ years of Python, SQL experience is mandatory.
Job Type: Contract
Salary: $60.00 - $68.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Boston, MA 02108: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Speak with the employer
+91 9725977972
Show Less
Report",$60.00 - $68.00 Per hour(Employer Est.),51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2003,$5 to $25 million (USD)
6,Konnectingtree,Data Engineer,Remote,"Greetings from KonnectingTree!
We are looking for a Data Engineer for one of our clients. This is a remote position with an Implementation partner. AWS Certification Mandatory.
Data Engineer with AWS Experience
Experience with PySpark/Spark
Experience in Python
Able to work independently
Able to work with the business team directly
Interested candidates kindly share your updated resume with mythili.saravanan@konenctingtree.com. Please reach me at 952-679-2916.
Job Type: Contract
Salary: $45.00 - $50.00 per hour
Experience level:
5 years
Schedule:
8 hour shift
Experience:
AWS Data Engineer: 5 years (Required)
Python: 5 years (Required)
PySpark: 5 years (Required)
Work Location: Remote
Speak with the employer
+91 952-679-2916
Show Less
Report",$45.00 - $50.00 Per hour(Employer Est.),1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
7,"STAND 8
4.4",DATA ENGINEER,Remote,"STAND 8 is a global leader providing end-to-end IT Solutions. We solve business problems through PEOPLE, PROCESS, and TECHNOLOGY and are looking for individuals to help us scale software projects designed to change the world!
Looking for a highly motivated and experienced Data Engineer to join our dynamic team. The successful candidate will be responsible for designing, developing and maintaining comprehensive Datalake and warehouse solutions. The candidate should be able to tackle challenges that come with complex large-scale data having different streams of data sources.

Key Responsibilities
Building different types of data lake and warehousing layers based on specific use cases.
Building scalable data infrastructure and understanding distributed systems concepts from a data storage and compute perspective.
Utilizing expertise in SQL and having a strong understanding of ETL (Extract-Transform-Load) and data modeling.
Ensuring the accuracy and availability of data to customers and understanding how technical decisions can impact the business’s analytics and reporting.
Interfacing with other technology teams to extract, transform and load data from a wide variety of data sources.
Design Data models and Data Products to enable advanced analytics for business
Developing scalable engineering solutions and building data solutions that drive real impact at the company
Collaborate with other teams to ensure proper integration of new features and identify areas for improvement.
Maintain a deep understanding of the software architecture and how different components interact.
Ensure quality by performing root cause analysis and troubleshooting of defects.
Stay current with industry trends and advancements in Data Engineering.

Qualifications
Bachelor’s degree in Computer Science, Software Engineering, or a related field.
3+ years of experience in Data Engineering, with a strong focus on batch and stream data processing using distributed computing systems like Spark.
Proficiency in either pySpark or Scala to handle large-volume data processing.
Proficiency in programming languages like Python or Java.
Familiarity with AWS.
Strong SQL skills, including performance tuning.
Excellent written and verbal communication skills.
Experience with Agile software development methodologies.
Ability to work independently and in a team environment.

The US base range for this contract position is $50-$80/hour. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training
Show Less
Report",$50.00 - $80.00 Per hour(Employer Est.),1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Less than $1 million (USD)
8,"TekWisen Software Pvt. Ltd
4.3",Data Engineer,"Carlsbad, CA","Overview:
TekWissen Group is a workforce management provider throughout the USA and many other countries in the world. The below job opportunity is to one of Our clients who offer biotechnology product development services. The Company focuses on providing laboratory equipment, chemicals, supplies and services used in healthcare, scientific research, safety, and education.
Job Title: Data Engineer
Duration: 6 Months
Work Location: Carlsbad, CA 92008
Pay rate: $59/hr - $62/hr
Job type: Contract
Work type: Onsite
Job Description:
Primary Job Duties:
Maintain Perl and Java code in data processing environment.
Maintain SQL scripts and PL/SQL procedures.
Maintain JSP scripts for basic web services Develop new programs/scripts as needed.
Minimum Qualifications:
A bachelor's degree in computer science, Engineering, Biology, or equivalent experience.
Very good working knowledge of PERL (minimum 3-4 years)
Highly proficient in Oracle SQL and PL/SQL (minimum 3-4 year's experience)
Very good knowledge of Core Java (minimum 3 years working experience)
Good understanding of Java EE (Servlets, JSP).
Good knowledge of XML and JSON data formats.
Good working knowledge of UNIX / Linux systems.
Excellent communication / documentation skills.
Familiarity with Bioinformatics tools is a plus.
Preferably has experience with LSF - Load Sharing Facility.
Experience with Agile Software Development process a plus.
Must be detail oriented and a self-starter.
Multi-tasking with good follow through skills, good communication skills.
Ability to work well in a team environment.
Strong problem solving, debugging and troubleshooting skills using latest tools and technology.
Ability to work alone and accomplish tasks without supervision.
TekWissen® Group is an equal opportunity/affirmative action Employer (m/f/d/v) supporting workforce diversity.
Job Type: Contract
Salary: $59.00 - $62.00 per hour
Schedule:
8 hour shift
Day shift
Monday to Friday
Ability to commute/relocate:
Carlsbad, CA 92008: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
This is a W2 requirement. Are you available on W2?
Experience:
Perl: 3 years (Preferred)
SQL: 3 years (Preferred)
PL/SQL: 3 years (Preferred)
Work Location: One location
Show Less
Report",$59.00 - $62.00 Per hour(Employer Est.),501 to 1000 Employees,Company - Private,Management & Consulting,Business Consulting,2009,$25 to $50 million (USD)
9,"PCS GLOBAL TECH
4.7",Data Engineer (PAID BOOTCAMP),"Brooklyn, NY","SQL Developer duties and responsibilities
Development of high quality database solutions
Develop, implement and optimize stored procedures and functions using T-SQL
Review and interpret ongoing business report requirements
Research required data
Build appropriate and useful reporting deliverables
Analyze existing SQL queries for performance improvements
Suggest new queries
Develop procedures and scripts for data migration
Provide timely scheduled management reporting
Investigate exceptions with regard to asset movements
SQL Developer requirements and qualifications
1-3 years of experience as a SQL Developer or similar role
Excellent understanding of T-SQL programming
BS/MS degree in Computer Science, Engineering or a related subject
Good knowledge of HTML and JavaScript
1 year of experience with SQL Server Reporting Services and SQL Server Analysis Services
Critical thinker and problem-solving skills
Good time-management skills
Great interpersonal and communication skills
Job Types: Full-time, Contract
Salary: $60,000.00 - $80,000.00 per year
Compensation package:
Monthly bonus
Experience level:
1 year
Under 1 year
Experience:
SQL: 1 year (Preferred)
Work Location: On the road
Show Less
Report",$60T - $80T (Employer Est.),501 to 1000 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,Unknown / Non-Applicable
